i, char value, unsigned char, short, unsigned short
277,21,21,277,277
278,22,22,278,278
279,23,23,279,279
280,24,24,280,280
281,25,25,281,281
282,26,26,282,282
283,27,27,283,283
284,28,28,284,284
285,29,29,285,285
286,30,30,286,286
287,31,31,287,287
288,32,32,288,288
289,33,33,289,289
290,34,34,290,290
291,35,35,291,291
292,36,36,292,292
293,37,37,293,293
294,38,38,294,294
295,39,39,295,295
296,40,40,296,296
297,41,41,297,297
298,42,42,298,298
299,43,43,299,299
300,44,44,300,300
301,45,45,301,301
302,46,46,302,302
303,47,47,303,303
304,48,48,304,304
305,49,49,305,305
306,50,50,306,306
307,51,51,307,307
308,52,52,308,308
309,53,53,309,309
310,54,54,310,310
311,55,55,311,311
312,56,56,312,312
313,57,57,313,313
314,58,58,314,314
315,59,59,315,315
316,60,60,316,316
317,61,61,317,317
318,62,62,318,318
319,63,63,319,319
320,64,64,320,320
321,65,65,321,321
322,66,66,322,322
323,67,67,323,323
324,68,68,324,324
325,69,69,325,325
326,70,70,326,326
327,71,71,327,327
328,72,72,328,328
329,73,73,329,329
330,74,74,330,330
331,75,75,331,331
332,76,76,332,332
333,77,77,333,333
334,78,78,334,334
335,79,79,335,335
336,80,80,336,336
337,81,81,337,337
338,82,82,338,338
339,83,83,339,339
340,84,84,340,340
341,85,85,341,341
342,86,86,342,342
343,87,87,343,343
344,88,88,344,344
345,89,89,345,345
346,90,90,346,346
347,91,91,347,347
348,92,92,348,348
349,93,93,349,349
350,94,94,350,350
351,95,95,351,351
352,96,96,352,352
353,97,97,353,353
354,98,98,354,354
355,99,99,355,355
356,100,100,356,356
357,101,101,357,357
358,102,102,358,358
359,103,103,359,359
360,104,104,360,360
361,105,105,361,361
362,106,106,362,362
363,107,107,363,363
364,108,108,364,364
365,109,109,365,365
366,110,110,366,366
367,111,111,367,367
368,112,112,368,368
369,113,113,369,369
370,114,114,370,370
371,115,115,371,371
372,116,116,372,372
373,117,117,373,373
374,118,118,374,374
375,119,119,375,375
376,120,120,376,376
377,121,121,377,377
378,122,122,378,378
379,123,123,379,379
380,124,124,380,380
381,125,125,381,381
382,126,126,382,382
383,127,127,383,383
384,-128,128,384,384
385,-127,129,385,385
386,-126,130,386,386
387,-125,131,387,387
388,-124,132,388,388
389,-123,133,389,389
390,-122,134,390,390
391,-121,135,391,391
392,-120,136,392,392
393,-119,137,393,393
394,-118,138,394,394
395,-117,139,395,395
396,-116,140,396,396
397,-115,141,397,397
398,-114,142,398,398
399,-113,143,399,399
400,-112,144,400,400
401,-111,145,401,401
402,-110,146,402,402
403,-109,147,403,403
404,-108,148,404,404
405,-107,149,405,405
406,-106,150,406,406
407,-105,151,407,407
408,-104,152,408,408
409,-103,153,409,409
410,-102,154,410,410
411,-101,155,411,411
412,-100,156,412,412
413,-99,157,413,413
414,-98,158,414,414
415,-97,159,415,415
416,-96,160,416,416
417,-95,161,417,417
418,-94,162,418,418
419,-93,163,419,419
420,-92,164,420,420
421,-91,165,421,421
422,-90,166,422,422
423,-89,167,423,423
424,-88,168,424,424
425,-87,169,425,425
426,-86,170,426,426
427,-85,171,427,427
428,-84,172,428,428
429,-83,173,429,429
430,-82,174,430,430
431,-81,175,431,431
432,-80,176,432,432
433,-79,177,433,433
434,-78,178,434,434
435,-77,179,435,435
436,-76,180,436,436
437,-75,181,437,437
438,-74,182,438,438
439,-73,183,439,439
440,-72,184,440,440
441,-71,185,441,441
442,-70,186,442,442
443,-69,187,443,443
444,-68,188,444,444
445,-67,189,445,445
446,-66,190,446,446
447,-65,191,447,447
448,-64,192,448,448
449,-63,193,449,449
450,-62,194,450,450
451,-61,195,451,451
452,-60,196,452,452
453,-59,197,453,453
454,-58,198,454,454
455,-57,199,455,455
456,-56,200,456,456
457,-55,201,457,457
458,-54,202,458,458
459,-53,203,459,459
460,-52,204,460,460
461,-51,205,461,461
462,-50,206,462,462
463,-49,207,463,463
464,-48,208,464,464
465,-47,209,465,465
466,-46,210,466,466
467,-45,211,467,467
468,-44,212,468,468
469,-43,213,469,469
470,-42,214,470,470
471,-41,215,471,471
472,-40,216,472,472
473,-39,217,473,473
474,-38,218,474,474
475,-37,219,475,475
476,-36,220,476,476
477,-35,221,477,477
478,-34,222,478,478
479,-33,223,479,479
480,-32,224,480,480
481,-31,225,481,481
482,-30,226,482,482
483,-29,227,483,483
484,-28,228,484,484
485,-27,229,485,485
486,-26,230,486,486
487,-25,231,487,487
488,-24,232,488,488
489,-23,233,489,489
490,-22,234,490,490
491,-21,235,491,491
492,-20,236,492,492
493,-19,237,493,493
494,-18,238,494,494
495,-17,239,495,495
496,-16,240,496,496
497,-15,241,497,497
498,-14,242,498,498
499,-13,243,499,499
500,-12,244,500,500
501,-11,245,501,501
502,-10,246,502,502
503,-9,247,503,503
504,-8,248,504,504
505,-7,249,505,505
506,-6,250,506,506
507,-5,251,507,507
508,-4,252,508,508
509,-3,253,509,509
510,-2,254,510,510
511,-1,255,511,511
512,0,0,512,512
513,1,1,513,513
514,2,2,514,514
515,3,3,515,515
516,4,4,516,516
517,5,5,517,517
518,6,6,518,518
519,7,7,519,519
520,8,8,520,520
521,9,9,521,521
522,10,10,522,522
523,11,11,523,523
524,12,12,524,524
525,13,13,525,525
526,14,14,526,526
527,15,15,527,527
528,16,16,528,528
529,17,17,529,529
530,18,18,530,530
531,19,19,531,531
532,20,20,532,532
533,21,21,533,533
534,22,22,534,534
535,23,23,535,535
536,24,24,536,536
537,25,25,537,537
538,26,26,538,538
539,27,27,539,539
540,28,28,540,540
541,29,29,541,541
542,30,30,542,542
543,31,31,543,543
544,32,32,544,544
545,33,33,545,545
546,34,34,546,546
547,35,35,547,547
548,36,36,548,548
549,37,37,549,549
550,38,38,550,550
551,39,39,551,551
552,40,40,552,552
553,41,41,553,553
554,42,42,554,554
555,43,43,555,555
556,44,44,556,556
557,45,45,557,557
558,46,46,558,558
559,47,47,559,559
560,48,48,560,560
561,49,49,561,561
562,50,50,562,562
563,51,51,563,563
564,52,52,564,564
565,53,53,565,565
566,54,54,566,566
567,55,55,567,567
568,56,56,568,568
569,57,57,569,569
570,58,58,570,570
571,59,59,571,571
572,60,60,572,572
573,61,61,573,573
574,62,62,574,574
575,63,63,575,575
576,64,64,576,576
577,65,65,577,577
578,66,66,578,578
579,67,67,579,579
580,68,68,580,580
581,69,69,581,581
582,70,70,582,582
583,71,71,583,583
584,72,72,584,584
585,73,73,585,585
586,74,74,586,586
587,75,75,587,587
588,76,76,588,588
589,77,77,589,589
590,78,78,590,590
591,79,79,591,591
592,80,80,592,592
593,81,81,593,593
594,82,82,594,594
595,83,83,595,595
596,84,84,596,596
597,85,85,597,597
598,86,86,598,598
599,87,87,599,599
600,88,88,600,600
601,89,89,601,601
602,90,90,602,602
603,91,91,603,603
604,92,92,604,604
605,93,93,605,605
606,94,94,606,606
607,95,95,607,607
608,96,96,608,608
609,97,97,609,609
610,98,98,610,610
611,99,99,611,611
612,100,100,612,612
613,101,101,613,613
614,102,102,614,614
615,103,103,615,615
616,104,104,616,616
617,105,105,617,617
618,106,106,618,618
619,107,107,619,619
620,108,108,620,620
621,109,109,621,621
622,110,110,622,622
623,111,111,623,623
624,112,112,624,624
625,113,113,625,625
626,114,114,626,626
627,115,115,627,627
628,116,116,628,628
629,117,117,629,629
630,118,118,630,630
631,119,119,631,631
632,120,120,632,632
633,121,121,633,633
634,122,122,634,634
635,123,123,635,635
636,124,124,636,636
637,125,125,637,637
638,126,126,638,638
639,127,127,639,639
640,-128,128,640,640
641,-127,129,641,641
642,-126,130,642,642
643,-125,131,643,643
644,-124,132,644,644
645,-123,133,645,645
646,-122,134,646,646
647,-121,135,647,647
648,-120,136,648,648
649,-119,137,649,649
650,-118,138,650,650
651,-117,139,651,651
652,-116,140,652,652
653,-115,141,653,653
654,-114,142,654,654
655,-113,143,655,655
656,-112,144,656,656
657,-111,145,657,657
658,-110,146,658,658
659,-109,147,659,659
660,-108,148,660,660
661,-107,149,661,661
662,-106,150,662,662
663,-105,151,663,663
664,-104,152,664,664
665,-103,153,665,665
666,-102,154,666,666
667,-101,155,667,667
668,-100,156,668,668
669,-99,157,669,669
670,-98,158,670,670
671,-97,159,671,671
672,-96,160,672,672
673,-95,161,673,673
674,-94,162,674,674
675,-93,163,675,675
676,-92,164,676,676
677,-91,165,677,677
678,-90,166,678,678
679,-89,167,679,679
680,-88,168,680,680
681,-87,169,681,681
682,-86,170,682,682
683,-85,171,683,683
684,-84,172,684,684
685,-83,173,685,685
686,-82,174,686,686
687,-81,175,687,687
688,-80,176,688,688
689,-79,177,689,689
690,-78,178,690,690
691,-77,179,691,691
692,-76,180,692,692
693,-75,181,693,693
694,-74,182,694,694
695,-73,183,695,695
696,-72,184,696,696
697,-71,185,697,697
698,-70,186,698,698
699,-69,187,699,699
700,-68,188,700,700
701,-67,189,701,701
702,-66,190,702,702
703,-65,191,703,703
704,-64,192,704,704
705,-63,193,705,705
706,-62,194,706,706
707,-61,195,707,707
708,-60,196,708,708
709,-59,197,709,709
710,-58,198,710,710
711,-57,199,711,711
712,-56,200,712,712
713,-55,201,713,713
714,-54,202,714,714
715,-53,203,715,715
716,-52,204,716,716
717,-51,205,717,717
718,-50,206,718,718
719,-49,207,719,719
720,-48,208,720,720
721,-47,209,721,721
722,-46,210,722,722
723,-45,211,723,723
724,-44,212,724,724
725,-43,213,725,725
726,-42,214,726,726
727,-41,215,727,727
728,-40,216,728,728
729,-39,217,729,729
730,-38,218,730,730
731,-37,219,731,731
732,-36,220,732,732
733,-35,221,733,733
734,-34,222,734,734
735,-33,223,735,735
736,-32,224,736,736
737,-31,225,737,737
738,-30,226,738,738
739,-29,227,739,739
740,-28,228,740,740
741,-27,229,741,741
742,-26,230,742,742
743,-25,231,743,743
744,-24,232,744,744
745,-23,233,745,745
746,-22,234,746,746
747,-21,235,747,747
748,-20,236,748,748
749,-19,237,749,749
750,-18,238,750,750
751,-17,239,751,751
752,-16,240,752,752
753,-15,241,753,753
754,-14,242,754,754
755,-13,243,755,755
756,-12,244,756,756
757,-11,245,757,757
758,-10,246,758,758
759,-9,247,759,759
760,-8,248,760,760
761,-7,249,761,761
762,-6,250,762,762
763,-5,251,763,763
764,-4,252,764,764
765,-3,253,765,765
766,-2,254,766,766
767,-1,255,767,767
768,0,0,768,768
769,1,1,769,769
770,2,2,770,770
771,3,3,771,771
772,4,4,772,772
773,5,5,773,773
774,6,6,774,774
775,7,7,775,775
776,8,8,776,776
777,9,9,777,777
778,10,10,778,778
779,11,11,779,779
780,12,12,780,780
781,13,13,781,781
782,14,14,782,782
783,15,15,783,783
784,16,16,784,784
785,17,17,785,785
786,18,18,786,786
787,19,19,787,787
788,20,20,788,788
789,21,21,789,789
790,22,22,790,790
791,23,23,791,791
792,24,24,792,792
793,25,25,793,793
794,26,26,794,794
795,27,27,795,795
796,28,28,796,796
797,29,29,797,797
798,30,30,798,798
799,31,31,799,799
800,32,32,800,800
801,33,33,801,801
802,34,34,802,802
803,35,35,803,803
804,36,36,804,804
805,37,37,805,805
806,38,38,806,806
807,39,39,807,807
808,40,40,808,808
809,41,41,809,809
810,42,42,810,810
811,43,43,811,811
812,44,44,812,812
813,45,45,813,813
814,46,46,814,814
815,47,47,815,815
816,48,48,816,816
817,49,49,817,817
818,50,50,818,818
819,51,51,819,819
820,52,52,820,820
821,53,53,821,821
822,54,54,822,822
823,55,55,823,823
824,56,56,824,824
825,57,57,825,825
826,58,58,826,826
827,59,59,827,827
828,60,60,828,828
829,61,61,829,829
830,62,62,830,830
831,63,63,831,831
832,64,64,832,832
833,65,65,833,833
834,66,66,834,834
835,67,67,835,835
836,68,68,836,836
837,69,69,837,837
838,70,70,838,838
839,71,71,839,839
840,72,72,840,840
841,73,73,841,841
842,74,74,842,842
843,75,75,843,843
844,76,76,844,844
845,77,77,845,845
846,78,78,846,846
847,79,79,847,847
848,80,80,848,848
849,81,81,849,849
850,82,82,850,850
851,83,83,851,851
852,84,84,852,852
853,85,85,853,853
854,86,86,854,854
855,87,87,855,855
856,88,88,856,856
857,89,89,857,857
858,90,90,858,858
859,91,91,859,859
860,92,92,860,860
861,93,93,861,861
862,94,94,862,862
863,95,95,863,863
864,96,96,864,864
865,97,97,865,865
866,98,98,866,866
867,99,99,867,867
868,100,100,868,868
869,101,101,869,869
870,102,102,870,870
871,103,103,871,871
872,104,104,872,872
873,105,105,873,873
874,106,106,874,874
875,107,107,875,875
876,108,108,876,876
877,109,109,877,877
878,110,110,878,878
879,111,111,879,879
880,112,112,880,880
881,113,113,881,881
882,114,114,882,882
883,115,115,883,883
884,116,116,884,884
885,117,117,885,885
886,118,118,886,886
887,119,119,887,887
888,120,120,888,888
889,121,121,889,889
890,122,122,890,890
891,123,123,891,891
892,124,124,892,892
893,125,125,893,893
894,126,126,894,894
895,127,127,895,895
896,-128,128,896,896
897,-127,129,897,897
898,-126,130,898,898
899,-125,131,899,899
900,-124,132,900,900
901,-123,133,901,901
902,-122,134,902,902
903,-121,135,903,903
904,-120,136,904,904
905,-119,137,905,905
906,-118,138,906,906
907,-117,139,907,907
908,-116,140,908,908
909,-115,141,909,909
910,-114,142,910,910
911,-113,143,911,911
912,-112,144,912,912
913,-111,145,913,913
914,-110,146,914,914
915,-109,147,915,915
916,-108,148,916,916
917,-107,149,917,917
918,-106,150,918,918
919,-105,151,919,919
920,-104,152,920,920
921,-103,153,921,921
922,-102,154,922,922
923,-101,155,923,923
924,-100,156,924,924
925,-99,157,925,925
926,-98,158,926,926
927,-97,159,927,927
928,-96,160,928,928
929,-95,161,929,929
930,-94,162,930,930
931,-93,163,931,931
932,-92,164,932,932
933,-91,165,933,933
934,-90,166,934,934
935,-89,167,935,935
936,-88,168,936,936
937,-87,169,937,937
938,-86,170,938,938
939,-85,171,939,939
940,-84,172,940,940
941,-83,173,941,941
942,-82,174,942,942
943,-81,175,943,943
944,-80,176,944,944
945,-79,177,945,945
946,-78,178,946,946
947,-77,179,947,947
948,-76,180,948,948
949,-75,181,949,949
950,-74,182,950,950
951,-73,183,951,951
952,-72,184,952,952
953,-71,185,953,953
954,-70,186,954,954
955,-69,187,955,955
956,-68,188,956,956
957,-67,189,957,957
958,-66,190,958,958
959,-65,191,959,959
960,-64,192,960,960
961,-63,193,961,961
962,-62,194,962,962
963,-61,195,963,963
964,-60,196,964,964
965,-59,197,965,965
966,-58,198,966,966
967,-57,199,967,967
968,-56,200,968,968
969,-55,201,969,969
970,-54,202,970,970
971,-53,203,971,971
972,-52,204,972,972
973,-51,205,973,973
974,-50,206,974,974
975,-49,207,975,975
976,-48,208,976,976
977,-47,209,977,977
978,-46,210,978,978
979,-45,211,979,979
980,-44,212,980,980
981,-43,213,981,981
982,-42,214,982,982
983,-41,215,983,983
984,-40,216,984,984
985,-39,217,985,985
986,-38,218,986,986
987,-37,219,987,987
988,-36,220,988,988
989,-35,221,989,989
990,-34,222,990,990
991,-33,223,991,991
992,-32,224,992,992
993,-31,225,993,993
994,-30,226,994,994
995,-29,227,995,995
996,-28,228,996,996
997,-27,229,997,997
998,-26,230,998,998
999,-25,231,999,999
1000,-24,232,1000,1000
1001,-23,233,1001,1001
1002,-22,234,1002,1002
1003,-21,235,1003,1003
1004,-20,236,1004,1004
1005,-19,237,1005,1005
1006,-18,238,1006,1006
1007,-17,239,1007,1007
1008,-16,240,1008,1008
1009,-15,241,1009,1009
1010,-14,242,1010,1010
1011,-13,243,1011,1011
1012,-12,244,1012,1012
1013,-11,245,1013,1013
1014,-10,246,1014,1014
1015,-9,247,1015,1015
1016,-8,248,1016,1016
1017,-7,249,1017,1017
1018,-6,250,1018,1018
1019,-5,251,1019,1019
1020,-4,252,1020,1020
1021,-3,253,1021,1021
1022,-2,254,1022,1022
1023,-1,255,1023,1023
1024,0,0,1024,1024
1025,1,1,1025,1025
1026,2,2,1026,1026
1027,3,3,1027,1027
1028,4,4,1028,1028
1029,5,5,1029,1029
1030,6,6,1030,1030
1031,7,7,1031,1031
1032,8,8,1032,1032
1033,9,9,1033,1033
1034,10,10,1034,1034
1035,11,11,1035,1035
1036,12,12,1036,1036
1037,13,13,1037,1037
1038,14,14,1038,1038
1039,15,15,1039,1039
1040,16,16,1040,1040
1041,17,17,1041,1041
1042,18,18,1042,1042
1043,19,19,1043,1043
1044,20,20,1044,1044
1045,21,21,1045,1045
1046,22,22,1046,1046
1047,23,23,1047,1047
1048,24,24,1048,1048
1049,25,25,1049,1049
1050,26,26,1050,1050
1051,27,27,1051,1051
1052,28,28,1052,1052
1053,29,29,1053,1053
1054,30,30,1054,1054
1055,31,31,1055,1055
1056,32,32,1056,1056
1057,33,33,1057,1057
1058,34,34,1058,1058
1059,35,35,1059,1059
1060,36,36,1060,1060
1061,37,37,1061,1061
1062,38,38,1062,1062
1063,39,39,1063,1063
1064,40,40,1064,1064
1065,41,41,1065,1065
1066,42,42,1066,1066
1067,43,43,1067,1067
1068,44,44,1068,1068
1069,45,45,1069,1069
1070,46,46,1070,1070
1071,47,47,1071,1071
1072,48,48,1072,1072
1073,49,49,1073,1073
1074,50,50,1074,1074
1075,51,51,1075,1075
1076,52,52,1076,1076
1077,53,53,1077,1077
1078,54,54,1078,1078
1079,55,55,1079,1079
1080,56,56,1080,1080
1081,57,57,1081,1081
1082,58,58,1082,1082
1083,59,59,1083,1083
1084,60,60,1084,1084
1085,61,61,1085,1085
1086,62,62,1086,1086
1087,63,63,1087,1087
1088,64,64,1088,1088
1089,65,65,1089,1089
1090,66,66,1090,1090
1091,67,67,1091,1091
1092,68,68,1092,1092
1093,69,69,1093,1093
1094,70,70,1094,1094
1095,71,71,1095,1095
1096,72,72,1096,1096
1097,73,73,1097,1097
1098,74,74,1098,1098
1099,75,75,1099,1099
1100,76,76,1100,1100
1101,77,77,1101,1101
1102,78,78,1102,1102
1103,79,79,1103,1103
1104,80,80,1104,1104
1105,81,81,1105,1105
1106,82,82,1106,1106
1107,83,83,1107,1107
1108,84,84,1108,1108
1109,85,85,1109,1109
1110,86,86,1110,1110
1111,87,87,1111,1111
1112,88,88,1112,1112
1113,89,89,1113,1113
1114,90,90,1114,1114
1115,91,91,1115,1115
1116,92,92,1116,1116
1117,93,93,1117,1117
1118,94,94,1118,1118
1119,95,95,1119,1119
1120,96,96,1120,1120
1121,97,97,1121,1121
1122,98,98,1122,1122
1123,99,99,1123,1123
1124,100,100,1124,1124
1125,101,101,1125,1125
1126,102,102,1126,1126
1127,103,103,1127,1127
1128,104,104,1128,1128
1129,105,105,1129,1129
1130,106,106,1130,1130
1131,107,107,1131,1131
1132,108,108,1132,1132
1133,109,109,1133,1133
1134,110,110,1134,1134
1135,111,111,1135,1135
1136,112,112,1136,1136
1137,113,113,1137,1137
1138,114,114,1138,1138
1139,115,115,1139,1139
1140,116,116,1140,1140
1141,117,117,1141,1141
1142,118,118,1142,1142
1143,119,119,1143,1143
1144,120,120,1144,1144
1145,121,121,1145,1145
1146,122,122,1146,1146
1147,123,123,1147,1147
1148,124,124,1148,1148
1149,125,125,1149,1149
1150,126,126,1150,1150
1151,127,127,1151,1151
1152,-128,128,1152,1152
1153,-127,129,1153,1153
1154,-126,130,1154,1154
1155,-125,131,1155,1155
1156,-124,132,1156,1156
1157,-123,133,1157,1157
1158,-122,134,1158,1158
1159,-121,135,1159,1159
1160,-120,136,1160,1160
1161,-119,137,1161,1161
1162,-118,138,1162,1162
1163,-117,139,1163,1163
1164,-116,140,1164,1164
1165,-115,141,1165,1165
1166,-114,142,1166,1166
1167,-113,143,1167,1167
1168,-112,144,1168,1168
1169,-111,145,1169,1169
1170,-110,146,1170,1170
1171,-109,147,1171,1171
1172,-108,148,1172,1172
1173,-107,149,1173,1173
1174,-106,150,1174,1174
1175,-105,151,1175,1175
1176,-104,152,1176,1176
1177,-103,153,1177,1177
1178,-102,154,1178,1178
1179,-101,155,1179,1179
1180,-100,156,1180,1180
1181,-99,157,1181,1181
1182,-98,158,1182,1182
1183,-97,159,1183,1183
1184,-96,160,1184,1184
1185,-95,161,1185,1185
1186,-94,162,1186,1186
1187,-93,163,1187,1187
1188,-92,164,1188,1188
1189,-91,165,1189,1189
1190,-90,166,1190,1190
1191,-89,167,1191,1191
1192,-88,168,1192,1192
1193,-87,169,1193,1193
1194,-86,170,1194,1194
1195,-85,171,1195,1195
1196,-84,172,1196,1196
1197,-83,173,1197,1197
1198,-82,174,1198,1198
1199,-81,175,1199,1199
1200,-80,176,1200,1200
1201,-79,177,1201,1201
1202,-78,178,1202,1202
1203,-77,179,1203,1203
1204,-76,180,1204,1204
1205,-75,181,1205,1205
1206,-74,182,1206,1206
1207,-73,183,1207,1207
1208,-72,184,1208,1208
1209,-71,185,1209,1209
1210,-70,186,1210,1210
1211,-69,187,1211,1211
1212,-68,188,1212,1212
1213,-67,189,1213,1213
1214,-66,190,1214,1214
1215,-65,191,1215,1215
1216,-64,192,1216,1216
1217,-63,193,1217,1217
1218,-62,194,1218,1218
1219,-61,195,1219,1219
1220,-60,196,1220,1220
1221,-59,197,1221,1221
1222,-58,198,1222,1222
1223,-57,199,1223,1223
1224,-56,200,1224,1224
1225,-55,201,1225,1225
1226,-54,202,1226,1226
1227,-53,203,1227,1227
1228,-52,204,1228,1228
1229,-51,205,1229,1229
1230,-50,206,1230,1230
1231,-49,207,1231,1231
1232,-48,208,1232,1232
1233,-47,209,1233,1233
1234,-46,210,1234,1234
1235,-45,211,1235,1235
1236,-44,212,1236,1236
1237,-43,213,1237,1237
1238,-42,214,1238,1238
1239,-41,215,1239,1239
1240,-40,216,1240,1240
1241,-39,217,1241,1241
1242,-38,218,1242,1242
1243,-37,219,1243,1243
1244,-36,220,1244,1244
1245,-35,221,1245,1245
1246,-34,222,1246,1246
1247,-33,223,1247,1247
1248,-32,224,1248,1248
1249,-31,225,1249,1249
1250,-30,226,1250,1250
1251,-29,227,1251,1251
1252,-28,228,1252,1252
1253,-27,229,1253,1253
1254,-26,230,1254,1254
1255,-25,231,1255,1255
1256,-24,232,1256,1256
